ID,BaseShiftID,RosterPositionID,CrewID
16093,17,3,13
16094,17,1,40
16095,16,1,41
16096,4,1,44
16097,2,2,50
16098,15,1,52
16099,15,3,55
16100,19,2,57
16101,19,1,61
16102,9,2,67
16103,7,1,70
16104,8,2,71
16105,14,2,87
16107,7,2,100
16108,14,1,101
16109,21,1,104
16110,6,2,109
16111,8,1,110
16112,12,1,111
16113,17,2,116
16114,11,2,119
16115,18,2,120
16116,10,2,134
16117,9,1,143
16118,12,2,144
16119,5,1,154
16120,5,2,161
16121,4,2,186
16122,18,1,200
16123,2,1,206
16124,11,1,207
16125,6,1,208
16126,13,1,209
16127,22,1,213
16128,16,2,222
16129,10,1,226
16130,15,2,394
16131,20,1,424
16132,19,3,447
16133,18,3,447
16134,16,3,452
16135,13,2,468
16138,14,3,88
16139,8,3,252
16140,2,2,474
